transaction_id,amount,transaction_date,hour,home_country,tx_country,alert_reason
10282,199781.53,2024-01-31 03:06:35,3,Russia,Финляндия,High amount
23101,199166.07,2024-02-09 04:51:30,4,Russia,Финляндия,High amount
21120,196852.37,2024-04-26 04:18:07,4,Russia,Джибути,High amount
2383,196359.71,2024-10-23 02:57:43,2,Russia,Венгрия,High amount
8358,194383.46,2024-05-18 00:10:28,0,Russia,Финляндия,High amount
12325,194228.45,2024-08-26 00:20:27,0,Russia,Бутан,High amount
29548,193589.16,2024-09-22 01:10:32,1,Russia,Финляндия,High amount
23053,192823.62,2024-04-25 00:11:58,0,Russia,Бутан,High amount
4403,191511.47,2024-12-10 03:44:44,3,Russia,Финляндия,High amount
15272,190840.91,2024-06-05 01:58:58,1,Russia,Бутан,High amount
4574,190188.84,2024-04-13 01:07:52,1,Russia,Венгрия,High amount
87,189911.44,2024-07-31 04:31:58,4,Russia,Венгрия,High amount
15073,189304.09,2024-01-24 04:56:34,4,Russia,Джибути,High amount
27657,189090.63,2024-10-12 00:43:10,0,Russia,Финляндия,High amount
22018,186709.7,2024-04-02 01:20:08,1,Russia,Джибути,High amount
9519,185097.51,2024-11-24 01:20:11,1,Russia,Бутан,High amount
7361,184327.27,2024-05-22 01:31:16,1,Russia,Бутан,High amount
333,184279.68,2024-12-04 00:19:30,0,Russia,Финляндия,High amount
11426,184213.86,2024-06-28 01:36:08,1,Russia,Бутан,High amount
19589,182833.66,2024-01-18 03:45:25,3,Russia,Венгрия,High amount
19241,179578.72,2024-05-21 01:49:02,1,Russia,Финляндия,High amount
25386,179304.06,2024-04-29 03:00:50,3,Russia,Венгрия,High amount
8014,178921.26,2024-11-05 00:32:47,0,Russia,Джибути,High amount
10237,178695.62,2024-11-18 04:33:42,4,Russia,Джибути,High amount
25852,178619.81,2024-09-04 04:00:29,4,Russia,Венгрия,High amount
8193,178444.07,2024-08-07 03:50:20,3,Russia,Бутан,High amount
8056,176951.55,2024-06-10 01:37:14,1,Russia,Венгрия,High amount
8157,175972.44,2024-07-13 01:08:16,1,Russia,Джибути,High amount
6901,175804.69,2024-04-05 02:20:26,2,Russia,Бутан,High amount
16564,175127.93,2024-06-13 03:11:46,3,Russia,Бутан,High amount
29000,175001.12,2024-11-12 03:32:28,3,Russia,Джибути,High amount
4431,173881.17,2024-11-18 03:38:31,3,Russia,Бутан,High amount
16839,173577.88,2024-05-23 03:25:23,3,Russia,Джибути,High amount
3964,172769.84,2024-01-11 03:23:31,3,Russia,Джибути,High amount
27285,172763.73,2024-07-12 02:36:10,2,Russia,Бутан,High amount
274,171867.71,2024-04-23 02:02:56,2,Russia,Венгрия,High amount
11103,170666.7,2024-09-27 02:27:01,2,Russia,Бутан,High amount
2380,170521.05,2024-11-18 01:12:23,1,Russia,Бутан,High amount
27634,170139.64,2024-09-05 02:36:16,2,Russia,Венгрия,High amount
25983,170051.25,2024-12-02 03:40:38,3,Russia,Джибути,High amount
26380,170048.8,2024-09-15 01:22:49,1,Russia,Финляндия,High amount
847,168356.79,2024-11-07 01:20:39,1,Russia,Финляндия,High amount
9109,168100.01,2024-08-13 04:10:20,4,Russia,Венгрия,High amount
14977,164476.93,2024-09-30 03:34:22,3,Russia,Джибути,High amount
11792,163750.39,2024-06-20 02:23:22,2,Russia,Финляндия,High amount
25862,162695.68,2024-12-21 01:44:13,1,Russia,Венгрия,High amount
14835,160856.57,2024-05-06 03:41:03,3,Russia,Бутан,High amount
20506,159868.81,2024-05-30 01:07:32,1,Russia,Джибути,High amount
1238,159860.17,2024-12-30 00:46:02,0,Russia,Финляндия,High amount
13708,159742.45,2024-01-19 03:14:51,3,Russia,Бутан,High amount
25127,159695.9,2024-11-11 01:55:10,1,Russia,Джибути,High amount
6365,157771.97,2024-09-13 04:34:32,4,Russia,Джибути,High amount
13392,157225.81,2024-06-05 04:39:17,4,Russia,Бутан,High amount
3886,155889.96,2024-07-02 00:11:41,0,Russia,Джибути,High amount
26392,155236.01,2024-06-21 04:06:16,4,Russia,Венгрия,High amount
88,154862.85,2024-09-20 02:10:42,2,Russia,Финляндия,High amount
24510,153403.08,2024-03-06 03:43:01,3,Russia,Бутан,High amount
10779,153390.21,2024-12-13 02:22:18,2,Russia,Бутан,High amount
5428,152878.12,2024-05-08 03:50:04,3,Russia,Венгрия,High amount
16869,152713.32,2024-07-28 00:31:44,0,Russia,Джибути,High amount
24607,150502.8,2024-10-05 01:25:26,1,Russia,Бутан,High amount
21084,149970.43,2024-03-03 06:01:10,6,Russia,Russia,High amount
27011,149961.02,2024-01-29 10:25:44,10,Russia,Russia,High amount
8289,149850.2,2024-08-03 09:16:18,9,Russia,Russia,High amount
7164,149826.5,2024-02-27 15:20:52,15,Russia,Russia,High amount
9694,149819.85,2024-10-29 09:24:52,9,Russia,Russia,High amount
4301,149810.67,2024-03-29 01:13:52,1,Russia,Russia,High amount
20307,149777.34,2024-05-04 14:06:28,14,Russia,Russia,High amount
2985,149753.96,2024-03-13 18:29:59,18,Russia,Russia,High amount
